nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6737.057187,3.10E-24,6.45E-03,B1,6920.131977,9,4,6,A1,0,1,1,0,0,1,B1,<-,B2,183.07479,9,A1,3,6,B2,
6737.079307,3.07E-24,6.39E-03,B2,6920.13393,9,4,5,A2,0,1,1,0,0,1,B1,<-,B1,183.054623,9,A1,3,7,B1,
6737.129634,2.79E-24,5.83E-03,B2,6898.305681,8,4,5,A2,0,1,1,0,0,1,B1,<-,B1,161.176047,8,A1,3,5,B1,
6737.134793,1.32E-24,1.98E-03,B1,6910.523537,12,2,11,A2,0,0,2,1,0,0,B2,<-,B2,173.388744,11,A1,1,10,B2,
6737.14054,2.78E-24,5.80E-03,B1,6898.306487,8,4,4,A1,0,1,1,0,0,1,B1,<-,B2,161.165947,8,A1,3,6,B2,
6737.196679,2.41E-24,5.18E-03,B1,6878.914403,7,4,4,A1,0,1,1,0,0,1,B1,<-,B2,141.717724,7,A1,3,4,B2,
6737.201555,2.40E-24,5.17E-03,B2,6878.914682,7,4,3,A2,0,1,1,0,0,1,B1,<-,B1,141.713127,7,A1,3,5,B1,
6737.257828,1.95E-24,4.47E-03,B2,6861.954786,6,4,3,A2,0,1,1,0,0,1,B1,<-,B1,124.696958,6,A1,3,3,B1,
6737.259745,1.95E-24,4.46E-03,B1,6861.954863,6,4,2,A1,0,1,1,0,0,1,B1,<-,B2,124.695118,6,A1,3,4,B2,
6737.312369,1.42E-24,3.57E-03,B1,6847.42381,5,4,2,A1,0,1,1,0,0,1,B1,<-,B2,110.111441,5,A1,3,2,B2,
6737.312998,1.42E-24,3.57E-03,B2,6847.423825,5,4,1,A2,0,1,1,0,0,1,B1,<-,B1,110.110827,5,A1,3,3,B1,
6737.497386,1.48E-24,1.46E-02,B2,7297.383529,12,7,6,B2,0,2,0,1,0,0,A1,<-,B1,559.886143,11,A1,7,5,B1,
6737.497441,1.48E-24,1.46E-02,B1,7297.383584,12,7,5,B1,0,2,0,1,0,0,A1,<-,B2,559.886143,11,A1,7,4,B2,
6737.670008,1.11E-24,7.48E-03,A1,6993.929092,12,1,11,B1,0,1,1,0,0,1,B1,<-,A2,256.259084,13,A1,2,11,A2,
6737.773842,1.02E-24,2.78E-03,B1,7032.929352,12,4,9,A2,0,0,2,1,0,0,B2,<-,B2,295.15551,13,A1,3,10,B2,
6737.860607,4.16E-24,1.84E-02,B2,7163.220833,14,5,10,B2,0,2,0,1,0,0,A1,<-,B1,425.360226,13,A1,5,9,B1,
6737.872208,4.18E-24,1.85E-02,B1,7163.232484,14,5,9,B1,0,2,0,1,0,0,A1,<-,B2,425.360276,13,A1,5,8,B2,
6737.955575,1.02E-24,2.76E-03,B2,7032.938663,12,4,8,A1,0,0,2,1,0,0,B2,<-,B1,294.983088,13,A1,3,11,B1,
6738.055887,3.76E-24,2.78E-02,A2,7029.038928,13,2,11,A2,0,2,0,1,0,0,A1,<-,A1,290.983041,14,A1,2,12,A1,
6738.643242,1.34E-24,4.42E-03,B1,7104.611675,14,3,12,B2,0,1,0,1,1,1,A2,<-,B2,365.968433,15,A1,3,12,B2,
6738.794963,4.17E-24,3.04E-02,A1,7025.869578,13,2,12,A1,0,2,0,1,0,0,A1,<-,A2,287.074615,14,A1,2,13,A2,
6738.930079,1.12E-24,1.80E-03,B2,6942.235825,13,2,12,A1,0,0,2,1,0,0,B2,<-,B1,203.305746,12,A1,1,11,B1,
6738.994224,2.17E-23,4.11E-02,B2,6942.29997,11,1,10,B2,0,2,0,1,0,0,A1,<-,B1,203.305746,12,A1,1,11,B1,
6739.291166,6.70E-24,3.36E-02,A1,6897.98198,10,0,10,A1,0,2,0,1,0,0,A1,<-,A2,158.690814,11,A1,0,11,A2,
6739.379018,1.50E-24,1.57E-02,B1,7328.37354,13,7,7,B1,0,2,0,1,0,0,A1,<-,B2,588.994522,12,A1,7,6,B2,
6739.379034,1.50E-24,1.57E-02,B2,7328.373556,13,7,6,B2,0,2,0,1,0,0,A1,<-,B1,588.994522,12,A1,7,5,B1,
6739.396888,2.11E-23,3.76E-02,B1,6930.235137,11,1,11,B1,0,2,0,1,0,0,A1,<-,B2,190.838249,12,A1,1,12,B2,
6739.420312,1.77E-24,5.85E-03,B2,7104.994242,14,3,11,B1,0,1,0,1,1,1,A2,<-,B1,365.57393,15,A1,3,13,B1,
6739.56182,2.59E-24,1.36E-02,A2,6926.776631,11,1,11,B1,0,1,1,1,0,0,B2,<-,A1,187.214811,12,A1,0,12,A1,
6740.431233,1.17E-24,7.37E-03,A2,6964.50846,11,1,10,B2,0,1,1,0,0,1,B1,<-,A1,224.077227,12,A1,2,10,A1,
6740.624972,4.15E-24,2.81E-02,A1,6996.884056,12,2,10,A1,0,2,0,1,0,0,A1,<-,A2,256.259084,13,A1,2,11,A2,
6740.683695,3.84E-24,1.87E-02,B1,7200.054862,15,5,11,B1,0,2,0,1,0,0,A1,<-,B2,459.371167,14,A1,5,10,B2,
6740.713899,3.88E-24,1.89E-02,B2,7200.085171,15,5,10,B2,0,2,0,1,0,0,A1,<-,B1,459.371272,14,A1,5,9,B1,
6740.776317,1.03E-24,1.39E-03,B2,6854.479062,10,2,8,A1,0,0,2,1,0,0,B2,<-,B1,113.702745,9,A1,1,9,B1,
6740.878138,1.74E-24,6.51E-03,B2,7145.97332,15,3,12,B2,1,0,0,2,2,0,A1,<-,B1,405.095182,16,A1,3,13,B1,
6740.909904,1.48E-24,5.53E-03,B1,7145.433569,15,3,13,B1,1,0,0,2,2,0,A1,<-,B2,404.523665,16,A1,3,14,B2,
6741.031904,1.26E-24,2.53E-03,B2,7029.788127,16,1,15,B1,0,0,1,0,2,1,A2,<-,B1,288.756223,15,A1,1,15,B1,
6741.1545,1.51E-24,4.49E-03,B2,7070.479388,13,3,11,B1,0,1,0,1,1,1,A2,<-,B1,329.324888,14,A1,3,11,B1,
6741.228657,4.59E-24,3.06E-02,A2,6994.488355,12,2,11,A2,0,2,0,1,0,0,A1,<-,A1,253.259698,13,A1,2,12,A1,
6741.249679,1.40E-24,1.60E-02,B1,7361.777893,14,7,7,B1,0,2,0,1,0,0,A1,<-,B2,620.528214,13,A1,7,6,B2,
6741.249742,1.40E-24,1.60E-02,B2,7361.777956,14,7,8,B2,0,2,0,1,0,0,A1,<-,B1,620.528214,13,A1,7,7,B1,
6741.321272,2.30E-23,4.14E-02,B1,6914.710016,10,1,9,B1,0,2,0,1,0,0,A1,<-,B2,173.388744,11,A1,1,10,B2,
6741.473228,1.21E-24,3.06E-03,B2,7004.925521,11,4,8,A1,0,0,2,1,0,0,B2,<-,B1,263.452293,12,A1,3,9,B1,
6741.591536,1.21E-24,3.08E-03,B1,7004.935556,11,4,7,A2,0,0,2,1,0,0,B2,<-,B2,263.34402,12,A1,3,10,B2,
6741.6932,1.34E-24,4.00E-03,B1,7070.753177,13,3,10,B2,0,1,0,1,1,1,A2,<-,B2,329.059977,14,A1,3,12,B2,
6741.78181,2.26E-23,3.85E-02,B2,6904.592503,10,1,10,B2,0,2,0,1,0,0,A1,<-,B1,162.810693,11,A1,1,11,B1,
6741.820799,1.26E-24,8.08E-02,B1,7730.499018,15,8,7,A2,0,2,0,1,0,0,B2,<-,B2,988.678219,16,A1,9,8,B2,
6741.820803,1.26E-24,8.08E-02,B2,7730.499022,15,8,8,A1,0,2,0,1,0,0,B2,<-,B1,988.678219,16,A1,9,7,B1,
6741.857364,7.69E-24,3.75E-02,A2,6874.320991,9,0,9,A2,0,2,0,1,0,0,A1,<-,A1,132.463627,10,A1,0,10,A1,
6742.1053,1.06E-24,2.16E-02,A2,7145.342878,8,5,3,B1,1,1,0,0,0,2,B2,<-,A1,403.237578,9,A1,6,4,A1,
6742.10542,1.06E-24,2.16E-02,A1,7145.342998,8,5,4,B2,1,1,0,0,0,2,B2,<-,A2,403.237578,9,A1,6,3,A2,
6742.173152,1.98E-24,9.92E-03,A1,6900.863966,10,1,10,B2,0,1,1,1,0,0,B2,<-,A2,158.690814,11,A1,0,11,A2,
6742.184145,3.17E-24,2.23E-02,B1,7276.875017,15,4,12,A1,0,0,1,1,1,1,B1,<-,B2,534.690872,16,A1,5,12,B2,
6742.385639,3.41E-24,2.40E-02,B2,7277.076909,15,4,11,A2,0,0,1,1,1,1,B1,<-,B1,534.69127,16,A1,5,11,B1,
6742.582369,1.21E-24,4.54E-03,B1,7147.106034,15,3,13,B1,0,2,0,1,0,0,A1,<-,B2,404.523665,16,A1,3,14,B2,
6742.761151,2.02E-24,7.59E-03,B2,7147.856333,15,3,12,B2,0,2,0,1,0,0,A1,<-,B1,405.095182,16,A1,3,13,B1,
6743.065517,1.18E-24,7.04E-03,A1,6937.497739,10,1,9,B1,0,1,1,0,0,1,B1,<-,A2,194.432222,11,A1,2,9,A2,
6743.101237,1.21E-24,1.52E-02,B1,7397.588362,15,7,9,B1,0,2,0,1,0,0,A1,<-,B2,654.487125,14,A1,7,8,B2,
6743.112932,1.21E-24,1.52E-02,B2,7397.600057,15,7,8,B2,0,2,0,1,0,0,A1,<-,B1,654.487125,14,A1,7,7,B1,
6743.172985,4.50E-24,2.83E-02,A2,6967.250212,11,2,9,A2,0,2,0,1,0,0,A1,<-,A1,224.077227,12,A1,2,10,A1,
6743.335267,1.20E-24,6.78E-02,B2,7693.262669,14,8,6,A1,0,2,0,1,0,0,B2,<-,B1,949.927402,15,A1,9,7,B1,
6743.335268,1.20E-24,6.78E-02,B1,7693.26267,14,8,7,A2,0,2,0,1,0,0,B2,<-,B2,949.927402,15,A1,9,6,B2,
6743.426283,3.37E-24,1.85E-02,B2,7239.240792,16,5,12,B2,0,2,0,1,0,0,A1,<-,B1,495.814509,15,A1,5,11,B1,
6743.519853,3.52E-24,1.93E-02,B1,7239.334571,16,5,11,B1,0,2,0,1,0,0,A1,<-,B2,495.814718,15,A1,5,10,B2,
6743.62659,1.05E-24,4.63E-03,B2,7081.542778,9,4,6,A1,1,1,0,0,0,2,B2,<-,B1,337.916188,10,A1,5,5,B1,
6743.62909,1.05E-24,4.63E-03,B1,7081.545275,9,4,5,A2,1,1,0,0,0,2,B2,<-,B2,337.916185,10,A1,5,6,B2,
6743.630371,1.61E-24,4.39E-03,B1,7038.785881,12,3,10,B2,0,1,0,1,1,1,A2,<-,B2,295.15551,13,A1,3,10,B2,
6743.66092,4.95E-24,3.08E-02,A1,6965.495161,11,2,10,A1,0,2,0,1,0,0,A1,<-,A2,221.834241,12,A1,2,11,A2,
6743.66805,2.40E-23,4.16E-02,B2,6889.598986,9,1,8,B2,0,2,0,1,0,0,A1,<-,B1,145.930936,10,A1,1,9,B1,
6743.909058,2.86E-24,9.48E-03,B1,7109.877491,14,3,11,B1,1,0,0,2,2,0,A1,<-,B2,365.968433,15,A1,3,12,B2,
6743.914428,2.59E-24,8.57E-03,B2,7109.488358,14,3,12,B2,1,0,0,2,2,0,A1,<-,B1,365.57393,15,A1,3,13,B1,
6744.028206,1.87E-24,5.11E-03,B2,7039.011294,12,3,9,B1,0,1,0,1,1,1,A2,<-,B1,294.983088,13,A1,3,11,B1,
6744.180126,2.36E-23,3.92E-02,B1,6881.277356,9,1,9,B1,0,2,0,1,0,0,A1,<-,B2,137.09723,10,A1,1,10,B2,
6744.383718,8.35E-24,4.06E-02,A1,6852.93302,8,0,8,A1,0,2,0,1,0,0,A1,<-,A2,108.549302,9,A1,0,9,A2,
6744.521045,1.13E-24,2.34E-02,A1,7125.914198,7,5,2,B2,1,1,0,0,0,2,B2,<-,A2,381.393153,8,A1,6,3,A2,
6744.521091,1.13E-24,2.34E-02,A2,7125.914244,7,5,3,B1,1,1,0,0,0,2,B2,<-,A1,381.393153,8,A1,6,2,A1,
6744.526353,1.44E-24,3.48E-03,B1,6978.734619,10,4,7,A2,0,0,2,1,0,0,B2,<-,B2,234.208266,11,A1,3,8,B2,
6744.600783,1.44E-24,3.47E-03,B2,6978.743843,10,4,6,A1,0,0,2,1,0,0,B2,<-,B1,234.14306,11,A1,3,9,B1,
6744.672069,3.74E-24,2.33E-02,B2,7240.486578,14,4,11,A2,0,0,1,1,1,1,B1,<-,B1,495.814509,15,A1,5,11,B1,
6744.770557,3.87E-24,2.41E-02,B1,7240.585275,14,4,10,A1,0,0,1,1,1,1,B1,<-,B2,495.814718,15,A1,5,10,B2,
6744.853518,1.36E-24,6.62E-03,A2,6877.317145,9,1,9,B1,0,1,1,1,0,0,B2,<-,A1,132.463627,10,A1,0,10,A1,
6744.966904,1.07E-24,1.52E-02,B1,7435.838055,16,7,9,B1,0,2,0,1,0,0,A1,<-,B2,690.871151,15,A1,7,8,B2,
6744.986745,1.07E-24,1.51E-02,B2,7435.857896,16,7,10,B2,0,2,0,1,0,0,A1,<-,B1,690.871151,15,A1,7,9,B1,
6745.57596,1.04E-24,6.04E-03,A2,6912.891982,9,1,8,B2,0,1,1,0,0,1,B1,<-,A1,167.316022,10,A1,2,8,A1,
6745.703938,4.79E-24,2.86E-02,A1,6940.13616,10,2,8,A1,0,2,0,1,0,0,A1,<-,A2,194.432222,11,A1,2,9,A2,
6745.827639,1.48E-24,4.90E-03,B1,7111.796072,14,3,11,B1,0,2,0,1,0,0,A1,<-,B2,365.968433,15,A1,3,12,B2,
6745.914123,1.36E-24,5.12E-03,B2,7151.009305,15,3,12,B2,0,2,0,1,0,0,A1,<-,B1,405.095182,16,A1,3,13,B1,
6745.965511,2.04E-24,1.04E-01,B2,7659.561946,13,8,6,A1,0,2,0,1,0,0,B2,<-,B1,913.596435,14,A1,9,5,B1,
6745.965511,2.04E-24,1.04E-01,B1,7659.561946,13,8,5,A2,0,2,0,1,0,0,B2,<-,B2,913.596435,14,A1,9,6,B2,
6746.034689,2.43E-23,4.19E-02,B1,6866.976679,8,1,7,B1,0,2,0,1,0,0,A1,<-,B2,120.94199,9,A1,1,8,B2,
6746.062731,1.15E-24,1.71E-02,A2,7207.580519,15,4,11,A2,0,2,0,1,0,0,A1,<-,A1,461.517788,16,A1,4,12,A1,
6746.088569,1.22E-24,5.37E-03,B1,7059.717989,8,4,5,A2,1,1,0,0,0,2,B2,<-,B2,313.62942,9,A1,5,4,B2,
6746.089527,1.22E-24,5.37E-03,B2,7059.718946,8,4,4,A1,1,1,0,0,0,2,B2,<-,B1,313.629419,9,A1,5,5,B1,
6746.091629,5.22E-24,3.09E-02,A2,6938.895507,10,2,9,A2,0,2,0,1,0,0,A1,<-,A1,192.803878,11,A1,2,10,A1,
6746.097307,1.59E-24,4.05E-03,B2,7009.5496,11,3,9,B1,0,1,0,1,1,1,A2,<-,B1,263.452293,12,A1,3,9,B1,
6746.179622,1.37E-24,2.03E-02,A1,7207.676732,15,4,12,A1,0,2,0,1,0,0,A1,<-,A2,461.49711,16,A1,4,13,A2,
6746.355427,1.80E-24,4.57E-03,B1,7009.699447,11,3,8,B2,0,1,0,1,1,1,A2,<-,B2,263.34402,12,A1,3,10,B2,
6746.558235,1.47E-24,5.50E-03,B1,7151.0819,15,3,13,B1,0,2,0,1,0,0,A1,<-,B2,404.523665,16,A1,3,14,B2,
6746.586153,2.39E-23,3.97E-02,B2,6860.288898,8,1,8,B2,0,2,0,1,0,0,A1,<-,B1,113.702745,9,A1,1,9,B1,
6746.635905,1.10E-24,5.65E-03,B2,7171.996131,12,5,8,B2,1,0,1,0,0,2,A1,<-,B1,425.360226,13,A1,5,9,B1,
6746.703702,1.14E-24,5.87E-03,B1,7172.063978,12,5,7,B1,1,0,1,0,0,2,A1,<-,B2,425.360276,13,A1,5,8,B2,
6746.777867,3.96E-24,1.18E-02,B2,7076.102755,13,3,10,B2,1,0,0,2,2,0,A1,<-,B1,329.324888,14,A1,3,11,B1,
6746.810328,3.54E-24,1.05E-02,B1,7075.870305,13,3,11,B1,0,2,0,1,0,0,A1,<-,B2,329.059977,14,A1,3,12,B2,
6746.876835,8.64E-24,4.29E-02,A2,6833.841735,7,0,7,A2,0,2,0,1,0,0,A1,<-,A1,86.9649,8,A1,0,8,A1,
6746.938591,1.19E-24,2.60E-02,A2,7108.914735,6,5,1,B1,1,1,0,0,0,2,B2,<-,A1,361.976144,7,A1,6,2,A1,
6746.938605,1.19E-24,2.60E-02,A1,7108.914749,6,5,2,B2,1,1,0,0,0,2,B2,<-,A2,361.976144,7,A1,6,1,A2,
6747.079614,3.06E-24,8.50E-03,B1,6835.318838,4,4,0,A1,0,1,1,0,0,1,B1,<-,B2,88.239224,3,A1,3,0,B2,
6747.079634,3.06E-24,8.50E-03,B2,6835.318836,4,4,1,A2,0,1,1,0,0,1,B1,<-,B1,88.239202,3,A1,3,1,B1,
6747.152665,4.15E-24,2.33E-02,B1,7206.523832,13,4,10,A1,0,0,1,1,1,1,B1,<-,B2,459.371167,14,A1,5,10,B2,
6747.16638,2.56E-24,1.44E-02,B2,7206.537652,13,5,8,B2,1,0,1,0,0,2,A1,<-,B1,459.371272,14,A1,5,9,B1,
6747.268677,1.65E-24,9.26E-03,B2,7206.639949,13,3,11,B1,1,0,1,1,0,1,A2,<-,B1,459.371272,14,A1,5,9,B1,
6747.551708,1.36E-24,3.20E-03,B2,6954.96916,9,5,5,B1,0,0,1,0,2,1,A2,<-,B1,207.417452,10,A1,3,7,B1,
6747.595354,1.35E-24,3.17E-03,B1,6954.975437,9,5,4,B2,0,0,1,0,2,1,A2,<-,B2,207.380083,10,A1,3,8,B2,
6748.025772,1.07E-24,6.13E-03,A1,6890.744083,8,1,7,B1,0,1,1,0,0,1,B1,<-,A2,142.718311,9,A1,2,7,A2,
6748.219814,5.00E-24,2.90E-02,A2,6915.535836,9,2,7,A2,0,2,0,1,0,0,A1,<-,A1,167.316022,10,A1,2,8,A1,
6748.3763,2.45E-24,1.15E-01,B2,7628.062022,12,8,4,A1,0,2,0,1,0,0,B2,<-,B1,879.685722,13,A1,9,5,B1,
6748.3763,2.45E-24,1.15E-01,B1,7628.062022,12,8,5,A2,0,2,0,1,0,0,B2,<-,B2,879.685722,13,A1,9,4,B2,
6748.414204,1.31E-24,2.49E-03,B2,6951.71995,11,0,11,A2,0,1,1,0,0,1,B1,<-,B1,203.305746,12,A1,1,11,B1,
6748.420789,2.41E-23,4.21E-02,B2,6846.851117,7,1,6,B2,0,2,0,1,0,0,A1,<-,B1,98.430328,8,A1,1,7,B1,
6748.520819,5.37E-24,3.10E-02,A1,6914.694684,9,2,8,A1,0,2,0,1,0,0,A1,<-,A2,166.173865,10,A1,2,9,A2,
6748.548859,1.39E-24,6.24E-03,B2,7040.3214,7,4,4,A1,1,1,0,0,0,2,B2,<-,B1,291.772541,8,A1,5,3,B1,
6748.549178,1.39E-24,6.24E-03,B1,7040.321718,7,4,3,A2,1,1,0,0,0,2,B2,<-,B2,291.77254,8,A1,5,4,B2,
6748.582054,1.39E-24,4.62E-03,B1,7114.550487,14,3,11,B1,0,2,0,1,0,0,A1,<-,B2,365.968433,15,A1,3,12,B2,
6748.5839,1.40E-24,3.39E-03,B1,6982.792166,10,3,8,B2,0,1,0,1,1,1,A2,<-,B2,234.208266,11,A1,3,8,B2,
6748.73604,1.55E-24,3.74E-03,B2,6982.8791,10,3,7,B1,0,1,0,1,1,1,A2,<-,B1,234.14306,11,A1,3,9,B1,
6748.876675,1.36E-24,1.78E-02,A1,7171.460253,14,4,10,A1,0,2,0,1,0,0,A1,<-,A2,422.583578,15,A1,4,11,A2,
6748.958195,1.51E-24,1.98E-02,A2,7171.529325,14,4,11,A2,0,2,0,1,0,0,A1,<-,A1,422.57113,15,A1,4,12,A1,
6748.997228,2.36E-23,4.02E-02,B1,6841.629221,7,1,7,B1,0,2,0,1,0,0,A1,<-,B2,92.631993,8,A1,1,8,B2,
6749.069607,1.59E-24,5.26E-03,B2,7114.643537,14,3,12,B2,0,2,0,1,0,0,A1,<-,B1,365.57393,15,A1,3,13,B1,
6749.346505,8.53E-24,4.45E-02,A1,6817.074219,6,0,6,A1,0,2,0,1,0,0,A1,<-,A2,67.727714,7,A1,0,7,A2,
6749.357987,1.25E-24,2.98E-02,A1,7094.344448,5,5,0,B2,1,1,0,0,0,2,B2,<-,A2,344.986461,6,A1,6,1,A2,
6749.357991,1.25E-24,2.98E-02,A2,7094.344452,5,5,1,B1,1,1,0,0,0,2,B2,<-,A1,344.986461,6,A1,6,0,A1,
6749.464486,2.96E-24,7.05E-03,B2,6847.423825,5,4,1,A2,0,1,1,0,0,1,B1,<-,B1,97.959339,4,A1,3,1,B1,
6749.464625,2.96E-24,7.05E-03,B1,6847.42381,5,4,2,A1,0,1,1,0,0,1,B1,<-,B2,97.959185,4,A1,3,2,B2,
6749.533769,4.89E-24,1.34E-02,B1,7044.689279,12,3,9,B1,0,2,0,1,0,0,A1,<-,B2,295.15551,13,A1,3,10,B2,
6749.580228,4.48E-24,1.22E-02,B2,7044.563316,12,3,10,B2,0,2,0,1,0,0,A1,<-,B1,294.983088,13,A1,3,11,B1,
6749.604758,1.63E-24,7.80E-03,B1,7143.385862,11,5,7,B1,1,0,1,0,0,2,A1,<-,B2,393.781104,12,A1,5,8,B2,
6749.638347,3.74E-24,1.92E-02,B1,7174.998623,12,4,8,A1,0,0,1,1,1,1,B1,<-,B2,425.360276,13,A1,5,8,B2,
6749.63999,4.36E-24,2.24E-02,B2,7175.000216,12,4,9,A2,0,0,1,1,1,1,B1,<-,B1,425.360226,13,A1,5,9,B1,
6749.674392,1.71E-24,8.22E-03,B2,7143.455519,11,5,6,B2,1,0,1,0,0,2,A1,<-,B1,393.781127,12,A1,5,7,B1,
6749.694612,1.19E-24,2.79E-03,B2,6957.112064,9,5,5,B1,0,0,1,0,2,1,A2,<-,B1,207.417452,10,A1,3,7,B1,
6749.739511,1.23E-24,2.90E-03,B1,6957.119594,9,5,4,B2,0,0,1,0,2,1,A2,<-,B2,207.380083,10,A1,3,8,B2,
6750.073892,1.11E-24,2.21E-03,B2,6874.77085,7,2,6,A1,0,1,1,1,0,0,B2,<-,B1,124.696958,6,A1,3,3,B1,
6750.110082,1.12E-24,2.24E-03,B1,6874.8052,7,2,5,A2,0,1,1,1,0,0,B2,<-,B2,124.695118,6,A1,3,4,B2,
6750.497381,1.12E-24,2.61E-03,B1,6933.572171,8,5,4,B2,0,0,1,0,2,1,A2,<-,B2,183.07479,9,A1,3,6,B2,
6750.520963,1.11E-24,2.59E-03,B2,6933.575586,8,5,3,B1,0,0,1,0,2,1,A2,<-,B1,183.054623,9,A1,3,7,B1,
6750.721862,5.09E-24,2.93E-02,A1,6893.440173,8,2,6,A1,0,2,0,1,0,0,A1,<-,A2,142.718311,9,A1,2,7,A2,
6750.763036,2.77E-24,1.21E-01,B2,7598.958675,11,8,4,A1,0,2,0,1,0,0,B2,<-,B1,848.195639,12,A1,9,3,B1,
6750.763036,2.77E-24,1.21E-01,B1,7598.958675,11,8,3,A2,0,2,0,1,0,0,B2,<-,B2,848.195639,12,A1,9,4,B2,
6750.82566,2.31E-23,4.23E-02,B1,6829.228882,6,1,5,B1,0,2,0,1,0,0,A1,<-,B2,78.403222,7,A1,1,6,B2,
6750.948657,5.39E-24,3.09E-02,A2,6892.897721,8,2,7,A2,0,2,0,1,0,0,A1,<-,A1,141.949064,9,A1,2,8,A1,
6751.006822,1.56E-24,7.32E-03,B1,7023.351989,6,4,3,A2,1,1,0,0,0,2,B2,<-,B2,272.345167,7,A1,5,2,B2,
6751.006909,1.56E-24,7.32E-03,B2,7023.352076,6,4,2,A1,1,1,0,0,0,2,B2,<-,B1,272.345167,7,A1,5,3,B1,
6751.118006,1.03E-24,2.42E-03,B2,6958.535458,9,3,7,B1,0,1,0,1,1,1,A2,<-,B1,207.417452,10,A1,3,7,B1,
6751.197701,1.12E-24,2.63E-03,B1,6958.577784,9,3,6,B2,0,1,0,1,1,1,A2,<-,B2,207.380083,10,A1,3,8,B2,
6751.218447,1.42E-24,4.25E-03,B2,7080.543335,13,3,10,B2,0,2,0,1,0,0,A1,<-,B1,329.324888,14,A1,3,11,B1,
6751.407193,2.26E-23,4.06E-02,B2,6825.296713,6,1,6,B2,0,2,0,1,0,0,A1,<-,B1,73.88952,7,A1,1,7,B1,
6751.610985,1.56E-24,4.66E-03,B1,7080.670962,13,3,11,B1,0,2,0,1,0,0,A1,<-,B2,329.059977,14,A1,3,12,B2,
6751.66432,1.55E-24,1.83E-02,A2,7137.756347,13,4,9,A2,0,2,0,1,0,0,A1,<-,A1,386.092027,14,A1,4,10,A1,
6751.736832,1.13E-24,1.56E-03,B2,6850.16716,9,2,7,A2,0,1,1,0,0,1,B1,<-,B1,98.430328,8,A1,1,7,B1,
6751.740084,1.63E-24,1.93E-02,A1,7137.824884,13,4,10,A1,0,2,0,1,0,0,A1,<-,A2,386.0848,14,A1,4,11,A2,
6751.801459,8.06E-24,4.58E-02,A2,6802.65598,5,0,5,A2,0,2,0,1,0,0,A1,<-,A1,50.854521,6,A1,0,6,A1,
6751.804259,1.01E-24,6.34E-03,B2,7247.618768,14,3,12,B2,0,0,2,1,0,0,A1,<-,B1,495.814509,15,A1,5,11,B1,
6751.843422,2.83E-24,6.05E-03,B1,6861.954863,6,4,2,A1,0,1,1,0,0,1,B1,<-,B2,110.111441,5,A1,3,2,B2,
6751.843959,2.83E-24,6.05E-03,B2,6861.954786,6,4,3,A2,0,1,1,0,0,1,B1,<-,B1,110.110827,5,A1,3,3,B1,
6752.137067,3.85E-24,1.85E-02,B2,7145.918194,11,5,6,B2,1,0,1,0,0,2,A1,<-,B1,393.781127,12,A1,5,7,B1,
6752.1419,4.27E-24,2.05E-02,B1,7145.923004,11,4,8,A1,0,0,1,1,1,1,B1,<-,B2,393.781104,12,A1,5,8,B2,
6752.214209,5.63E-24,1.43E-02,B2,7015.666502,11,3,8,B2,0,2,0,1,0,0,A1,<-,B1,263.452293,12,A1,3,9,B1,
6752.253689,1.84E-24,4.30E-03,B1,6935.328479,8,3,5,B1,0,2,0,1,0,0,A1,<-,B2,183.07479,9,A1,3,6,B2,
6752.260134,5.30E-24,1.35E-02,B1,7015.604154,11,3,9,B1,0,2,0,1,0,0,A1,<-,B2,263.34402,12,A1,3,10,B2,
6752.291154,1.90E-24,4.42E-03,B2,6935.345777,8,3,6,B2,0,2,0,1,0,0,A1,<-,B1,183.054623,9,A1,3,7,B1,
6752.432494,1.66E-24,3.00E-03,B1,6925.821238,10,0,10,A1,0,1,1,0,0,1,B1,<-,B2,173.388744,11,A1,1,10,B2,
6752.445836,1.46E-24,2.78E-03,B1,6894.16356,8,2,7,A2,0,1,1,1,0,0,B2,<-,B2,141.717724,7,A1,3,4,B2,
6752.500059,2.32E-24,1.06E-02,B2,7117.133317,10,5,6,B2,1,0,1,0,0,2,A1,<-,B1,364.633258,11,A1,5,7,B1,
6752.511397,1.49E-24,2.84E-03,B2,6894.224524,8,2,6,A1,0,1,1,1,0,0,B2,<-,B1,141.713127,7,A1,3,5,B1,
6752.571368,2.51E-24,1.14E-02,B1,7117.204636,10,5,5,B1,1,0,1,0,0,2,A1,<-,B2,364.633268,11,A1,5,6,B2,
6753.195092,3.00E-24,1.25E-01,B2,7572.321627,10,8,2,A1,0,2,0,1,0,0,B2,<-,B1,819.126535,11,A1,9,3,B1,
6753.195092,3.00E-24,1.25E-01,B1,7572.321627,10,8,3,A2,0,2,0,1,0,0,B2,<-,B2,819.126535,11,A1,9,2,B2,
6753.210978,5.04E-24,2.95E-02,A2,6873.838195,7,2,5,A2,0,2,0,1,0,0,A1,<-,A1,120.627217,8,A1,2,6,A1,
6753.248448,2.13E-23,4.25E-02,B2,6814.115337,5,1,4,B2,0,2,0,1,0,0,A1,<-,B1,60.866889,6,A1,1,5,B1,
