nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6511.290438,5.61E-24,1.32E-02,B1,6806.445948,13,4,9,A2,3,0,0,1,0,0,B2,<-,B2,295.15551,13,A1,3,10,B2,
6511.458237,5.63E-24,1.32E-02,B2,6806.441325,13,4,10,A1,3,0,0,1,0,0,B2,<-,B1,294.983088,13,A1,3,11,B1,
6511.995833,5.95E-24,1.30E-02,B2,6775.448126,12,4,8,A1,3,0,0,1,0,0,B2,<-,B1,263.452293,12,A1,3,9,B1,
6512.10195,5.98E-24,1.30E-02,B1,6775.44597,12,4,9,A2,3,0,0,1,0,0,B2,<-,B2,263.34402,12,A1,3,10,B2,
6512.127651,2.52E-24,1.15E-02,A2,6596.041925,7,3,5,B1,3,0,0,1,0,0,B2,<-,A1,83.914274,6,A1,2,4,A1,
6512.298578,2.52E-24,1.15E-02,A1,6596.04688,7,3,4,B2,3,0,0,1,0,0,B2,<-,A2,83.748302,6,A1,2,5,A2,
6512.30932,1.30E-24,1.14E-02,A1,6730.647788,7,3,5,B1,0,0,2,0,0,1,B1,<-,A2,218.338468,8,A1,4,5,A2,
6512.314662,1.30E-24,1.14E-02,A2,6730.653213,7,3,4,B2,0,0,2,0,0,1,B1,<-,A1,218.338551,8,A1,4,4,A1,
6512.630912,5.92E-24,1.22E-02,B1,6746.839178,11,4,7,A2,3,0,0,1,0,0,B2,<-,B2,234.208266,11,A1,3,8,B2,
6512.685101,1.08E-24,1.62E-02,B1,7203.556252,14,7,7,B1,0,0,1,1,0,2,A1,<-,B2,690.871151,15,A1,7,8,B2,
6512.685184,1.08E-24,1.62E-02,B2,7203.556335,14,7,8,B2,0,0,1,1,0,2,A1,<-,B1,690.871151,15,A1,7,9,B1,
6512.697091,6.22E-24,1.28E-02,B2,6746.840151,11,4,8,A1,3,0,0,1,0,0,B2,<-,B1,234.14306,11,A1,3,9,B1,
6512.856432,1.64E-24,3.59E-03,B1,6720.236515,9,3,7,B1,0,0,1,1,0,2,A1,<-,B2,207.380083,10,A1,3,8,B2,
6513.037463,1.43E-24,3.13E-03,B2,6720.454915,9,0,9,A2,0,0,2,0,0,1,B1,<-,B1,207.417452,10,A1,3,7,B1,
6513.206194,6.30E-24,1.25E-02,B2,6720.623646,10,4,6,A1,3,0,0,1,0,0,B2,<-,B1,207.417452,10,A1,3,7,B1,
6513.242842,6.30E-24,1.25E-02,B1,6720.622925,10,4,7,A2,3,0,0,1,0,0,B2,<-,B2,207.380083,10,A1,3,8,B2,
6513.718584,6.21E-24,1.21E-02,B1,6696.793374,9,4,5,A2,3,0,0,1,0,0,B2,<-,B2,183.07479,9,A1,3,6,B2,
6513.738459,6.21E-24,1.21E-02,B2,6696.793082,9,4,6,A1,3,0,0,1,0,0,B2,<-,B1,183.054623,9,A1,3,7,B1,
6513.789411,1.69E-24,5.91E-03,B1,6918.313076,15,0,15,A2,0,1,0,1,0,2,B2,<-,B2,404.523665,16,A1,3,14,B2,
6513.959726,1.49E-24,2.41E-03,B2,6659.890662,9,0,9,A2,0,1,0,0,2,1,B1,<-,B1,145.930936,10,A1,1,9,B1,
6514.078772,2.44E-24,1.07E-02,A1,6615.108862,8,3,6,B2,3,0,0,1,0,0,B2,<-,A2,101.03009,7,A1,2,5,A2,
6514.173569,5.92E-24,1.15E-02,B2,6675.349616,8,4,4,A1,3,0,0,1,0,0,B2,<-,B1,161.176047,8,A1,3,5,B1,
6514.183557,5.92E-24,1.16E-02,B1,6675.349504,8,4,5,A2,3,0,0,1,0,0,B2,<-,B2,161.165947,8,A1,3,6,B2,
6514.387207,2.43E-24,1.06E-02,A2,6615.119679,8,3,5,B1,3,0,0,1,0,0,B2,<-,A1,100.732472,7,A1,2,6,A1,
6514.573488,5.39E-24,1.08E-02,B1,6656.291212,7,4,3,A2,3,0,0,1,0,0,B2,<-,B2,141.717724,7,A1,3,4,B2,
6514.578047,5.39E-24,1.09E-02,B2,6656.291174,7,4,4,A1,3,0,0,1,0,0,B2,<-,B1,141.713127,7,A1,3,5,B1,
6514.786612,1.28E-24,1.18E-02,A2,6713.686344,6,3,4,B2,0,0,2,0,0,1,B1,<-,A1,198.899732,7,A1,4,4,A1,
6514.788779,1.28E-24,1.18E-02,A1,6713.688538,6,3,3,B1,0,0,2,0,0,1,B1,<-,A2,198.899759,7,A1,4,3,A2,
6514.874309,2.63E-24,3.74E-03,B1,6705.712558,13,2,11,A2,3,0,0,1,0,0,B2,<-,B2,190.838249,12,A1,1,12,B2,
6514.920225,4.60E-24,9.83E-03,B2,6639.617183,6,4,2,A1,3,0,0,1,0,0,B2,<-,B1,124.696958,6,A1,3,3,B1,
6514.922054,4.60E-24,9.83E-03,B1,6639.617172,6,4,3,A2,3,0,0,1,0,0,B2,<-,B2,124.695118,6,A1,3,4,B2,
6515.215251,3.50E-24,8.24E-03,B1,6625.326692,5,4,1,A2,3,0,0,1,0,0,B2,<-,B2,110.111441,5,A1,3,2,B2,
6515.215863,3.50E-24,8.24E-03,B2,6625.32669,5,4,2,A1,3,0,0,1,0,0,B2,<-,B1,110.110827,5,A1,3,3,B1,
6515.324951,1.68E-24,3.66E-03,B2,6698.379574,8,3,6,B2,0,0,1,1,0,2,A1,<-,B1,183.054623,9,A1,3,7,B1,
6515.459689,2.02E-24,5.48E-03,B2,6613.419028,4,4,0,A1,3,0,0,1,0,0,B2,<-,B1,97.959339,4,A1,3,1,B1,
6515.459843,2.02E-24,5.48E-03,B1,6613.419028,4,4,1,A2,3,0,0,1,0,0,B2,<-,B2,97.959185,4,A1,3,2,B2,
6515.883336,1.21E-24,1.64E-02,B2,7170.370461,13,7,6,B2,0,0,1,1,0,2,A1,<-,B1,654.487125,14,A1,7,7,B1,
