vibrational_f	angmom_total_f	vibrational_i	angmom_total_i	transition_wavenumber	unc	lambda	unc	einstein_coefficient	unc	Atot	energy_f	unc	Tu	degeneracy
1	8	0	6	5592.6853	4E-05	1.78804983	1E-08	3.54E-07	3.54E-07	7.4E-07	-28110.487247	0.0002	11521.1	17
1	8	1	6	1553.193592	1E-05	6.438347448	6E-08	1.05E-07	1.05E-07	7.4E-07	-28110.487247	0.0002	11521.1	17
1	9	0	11	1776.377452	3E-06	5.629434211	9E-09	2.07E-08	2.07E-08	7.44E-07	-27209.628625	0.0002	12817.3	57
1	9	0	9	3906.478066	2E-05	2.559850543	1E-08	2.11E-07	2.44E-07	7.44E-07	-27209.628625	0.0002	12817.3	57
1	9	0	7	5720.970441	4E-05	1.747955195	1E-08	2.98E-07	2.98E-07	7.44E-07	-27209.628625	0.0002	12817.3	57
1	9	1	7	1720.915283	2E-05	5.810861289	5E-08	1.82E-07	1.82E-07	7.44E-07	-27209.628625	0.0002	12817.3	57
1	10	0	12	1585.136169	2E-06	6.308606286	6E-09	1.26E-08	1.26E-08	7.77E-07	-26234.331933	0.0002	14220.5	21
1	10	0	10	3852.81735	2E-05	2.595503262	1E-08	1.99E-07	2.39E-07	7.77E-07	-26234.331933	0.0002	14220.5	21
1	10	0	8	5831.794613	4E-05	1.714738029	1E-08	2.34E-07	2.34E-07	7.77E-07	-26234.331933	0.0002	14220.5	21
1	10	1	8	1876.155313	2E-05	5.330049133	5E-08	2.92E-07	2.92E-07	7.77E-07	-26234.331933	0.0002	14220.5	21
1	11	0	13	1403.181364	3E-07	7.126662495	2E-09	7.4E-09	7.4E-09	8.46E-07	-25191.096572	0.0002	15721.5	69
1	11	0	11	3794.909506	2E-05	2.635108949	1E-08	1.87E-07	2.34E-07	8.46E-07	-25191.096572	0.0002	15721.5	69
1	11	0	9	5925.010119	4E-05	1.687760831	1E-08	1.68E-07	1.68E-07	8.46E-07	-25191.096572	0.0002	15721.5	69
1	11	1	9	2018.532053	2E-05	4.954095222	4E-08	4.37E-07	4.37E-07	8.46E-07	-25191.096572	0.0002	15721.5	69
1	12	0	14	1230.597129	9E-07	8.126136299	6E-09	4.13E-09	4.13E-09	9.6E-07	-24086.460293	0.0001	17310.8	25
1	12	0	12	3733.00781	2E-05	2.678805004	1E-08	1.74E-07	2.29E-07	9.6E-07	-24086.460293	0.0001	17310.8	25
1	12	0	10	6000.688991	4E-05	1.666475302	1E-08	1.05E-07	1.05E-07	9.6E-07	-24086.460293	0.0001	17310.8	25
1	12	1	10	2147.871641	2E-05	4.655771699	4E-08	6.21E-07	6.21E-07	9.6E-07	-24086.460293	0.0001	17310.8	25
1	13	0	15	1067.333579	2E-06	9.369142128	2E-08	2.18E-09	2.18E-09	1.12E-06	-22926.916876	0.0001	18979.1	81
1	13	0	13	3667.36106	2E-05	2.726756334	1E-08	1.6E-07	2.25E-07	1.12E-06	-22926.916876	0.0001	18979.1	81
1	13	0	11	6059.089202	4E-05	1.650413068	1E-08	5.32E-08	5.32E-08	1.12E-06	-22926.916876	0.0001	18979.1	81
1	13	1	11	2264.179696	2E-05	4.41661058	4E-08	8.42E-07	8.42E-07	1.12E-06	-22926.916876	0.0001	18979.1	81
1	14	0	16	913.230864	3E-06	10.950133635	3E-08	1.07E-09	1.07E-09	1.34E-06	-21718.848986	0.0001	20717.3	29
1	14	0	14	3598.208436	2E-05	2.779160846	1E-08	1.47E-07	2.22E-07	1.34E-06	-21718.848986	0.0001	20717.3	29
1	14	0	12	6100.619117	4E-05	1.639177895	1E-08	1.67E-08	1.67E-08	1.34E-06	-21718.848986	0.0001	20717.3	29
1	14	1	12	2367.611307	2E-05	4.223666262	4E-08	1.1E-06	1.1E-06	1.34E-06	-21718.848986	0.0001	20717.3	29
1	15	0	17	768.041228	4E-06	13.020134383	6E-08	4.82E-10	4.82E-10	1.6E-06	-20468.475747	0.0001	22516.3	93
1	15	0	15	3525.774708	2E-05	2.836256094	1E-08	1.34E-07	2.19E-07	1.6E-06	-20468.475747	0.0001	22516.3	93
1	15	0	13	6125.802189	4E-05	1.632439261	1E-08	4.74E-10	4.74E-10	1.6E-06	-20468.475747	0.0001	22516.3	93
1	15	1	13	2458.441129	2E-05	4.067618249	3E-08	1.38E-06	1.38E-06	1.6E-06	-20468.475747	0.0001	22516.3	93
